length_1_time,stim,trial_num,length_2_frames,length_1_frames,length_2_time,num_trials_presented,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,date,expName,session,participant,
0.096,sound.wav,5,10,6,0.16,4,1,0,0,0,18,2,0,0.669250965118,2013_Mar_10_2154,None,001,1,
0.128,sound.wav,4,6,8,0.096,3,2,0,1,1,14,2,1,0.40101480484,2013_Mar_10_2154,None,001,1,
0.352,sound.wav,10,6,22,0.096,2,2,0,2,2,34,1,0,0.420547962189,2013_Mar_10_2154,None,001,1,
0.128,sound.wav,4,6,8,0.096,3,2,0,3,3,15,2,1,0.41702413559,2013_Mar_10_2154,None,001,1,
0.128,sound.wav,4,6,8,0.096,3,2,0,4,4,16,1,0,0.651186943054,2013_Mar_10_2154,None,001,1,
0.16,sound.wav,6,6,10,0.096,3,2,0,5,5,21,2,1,0.334095001221,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,9,22,6,0.352,3,1,0,6,6,31,None,0,,2013_Mar_10_2154,None,001,1,
0.352,sound.wav,10,6,22,0.096,2,2,0,7,7,35,2,1,0.70064997673,2013_Mar_10_2154,None,001,1,
0.112,sound.wav,2,6,7,0.096,5,2,0,8,8,9,2,1,0.684494018555,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,3,8,6,0.128,4,1,0,9,9,13,2,0,0.467722177505,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,3,8,6,0.128,4,1,0,10,10,10,2,0,0.570854902267,2013_Mar_10_2154,None,001,1,
0.608,sound.wav,12,6,38,0.096,2,2,0,11,11,38,2,1,0.384014129639,2013_Mar_10_2154,None,001,1,
0.16,sound.wav,6,6,10,0.096,3,2,0,12,12,23,1,0,0.350591182709,2013_Mar_10_2154,None,001,1,
0.112,sound.wav,2,6,7,0.096,5,2,0,13,13,8,2,1,0.71769285202,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,9,22,6,0.352,3,1,0,14,14,33,1,1,0.384836196899,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,1,7,6,0.112,5,1,0,15,15,1,2,0,0.433995962143,2013_Mar_10_2154,None,001,1,
0.224,sound.wav,8,6,14,0.096,5,2,0,16,16,28,2,1,0.417270898819,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,11,38,6,0.608,1,1,0,17,17,36,1,1,0.346302032471,2013_Mar_10_2154,None,001,1,
0.224,sound.wav,8,6,14,0.096,5,2,0,18,18,29,2,1,0.350586891174,2013_Mar_10_2154,None,001,1,
0.224,sound.wav,8,6,14,0.096,5,2,0,19,19,30,2,1,0.751148939133,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,5,10,6,0.16,4,1,0,20,20,19,1,1,0.533793926239,2013_Mar_10_2154,None,001,1,
0.112,sound.wav,2,6,7,0.096,5,2,0,21,21,5,2,1,1.0047647953,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,7,14,6,0.224,2,1,0,22,22,24,1,1,0.500772953033,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,5,10,6,0.16,4,1,0,23,23,20,2,0,0.500746011734,2013_Mar_10_2154,None,001,1,
0.608,sound.wav,12,6,38,0.096,2,2,0,24,24,37,1,0,0.417362928391,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,1,7,6,0.112,5,1,0,25,25,4,1,1,0.584182024002,2013_Mar_10_2154,None,001,1,
0.096,sound.wav,1,7,6,0.112,5,1,0,26,26,3,2,0,0.384386062622,2013_Mar_10_2154,None,001,1,
